FuelType,Year,CapacityMW,ProductionGWh,ProductionMWy,CapacityFactor
bio,2018,125485.07893561643,618806.1978,70639.97691780822,0.5629352710058222
coa,2018,2222407.1465657535,10117960.9364,1155018.3717351598,0.5197150186994266
hyd,2018,1292440.8303,4336503.4911,495034.64510273974,0.3830230626401928
nga,2018,1696881.70376621,6135491.6077000005,700398.5853538812,0.41275628336339204
nuc,2018,406859.7246347032,2710745.8442,309445.8726255708,0.7605714055462361
oil,2018,399444.3708712329,773482.1025,88297.04366438356,0.2210496632404603
ore,2018,17433.77549086758,122384.772,13970.864383561644,0.8013676894531577
sol,2018,462577.99984018266,589318.6403,67273.81738584474,0.1454323755325315
wnd,2018,564721.4057616438,1261686.3479,144028.1219063927,0.25504278824377297
